name
SKAARSETH Anders
BEVILACQUA Simone
RAVASI Edward
PINARELLO Alessandro
HESTERS Jules
COSNEFROY Benoît
OOMEN Sam
SCARONI Christian
MØRKØV Michael
VERVAEKE Louis
BAKELANTS Jan
PAASSCHENS Mathijs
HOOLE Daan
CLANCY Stephen
WIŚNIOWSKI Łukasz
MARTÍN Gotzon
HERREGODTS Rune
VAN DEN BERG Lars
ZANONCELLO Enrico
ORTS Felipe
HIGUITA Sergio
BAUER Jack
GOGL Michael
MOSCHETTI Matteo
BERNAL Egan
DOULL Owain
HOLTHER Trym Westgaard
WELTEN Bram
OLIVEIRA Ivo
JAUREGUI Quentin
RANGEL COSTA Vinicius
VAN MOER Brent
KUSZTOR Péter
HANSEN Lasse Norman
MOHORIČ Matej
BENOOT Tiesj
RODRÍGUEZ Cristián
GANNA Filippo
PAQUOT Tom
COTÉ Pier-André
ARMÉE Sander
HALVORSEN Kristoffer
KRAGH ANDERSEN Asbjørn
LASTRA Jonathan
NIBALI Antonio
QUINTANA Nairo
MÄRKL Niklas
GUARNIERI Jacopo
SOUPE Geoffrey
SHAW James
PHILIPSEN Jasper
HOFSTEDE Lennard
POLANC Jan
GIDICH Yevgeniy
CHEREL Mikaël
SCOTSON Callum
NOVAK Domen
MERCHAN Didier
IZAGIRRE Gorka
FRAILE Omar
CAMARGO Diego Andrés
KULSET Kristian
LUNDER Eirik
VAN TRICHT Stan
TROIA Oliviero
ZINGLE Axel
TRATNIK Jan
MARENGO Umberto
IMPEY Daryl
HARDY Romain
VERSCHAEVE Viktor
MAS Enric
SIVAKOV Pavel
DEBUSSCHERE Jens
VERVLOESEM Xandres
RODRÍGUEZ Óscar
VERONA Carlos
SCHÖNBERGER Sebastian
GABBURO Davide
MOLANO Juan Sebastián
MARECZKO Jakub
VAN DIJKE Tim
BARBERO Carlos
PACHER Quentin
HONORÉ Mikkel Frølich
MAS Lluís
IRVINE Declan
STEIMLE Jannik
MENDEZ Daniel Alejandro
KOOIJ Olav
TIZZA Marco
DENNIS Rohan
RETAILLEAU Valentin
PRODHOMME Nicolas
KRISTOFF Alexander
VERRE Alessandro
VIVIANI Elia
RIABUSHENKO Alexandr
FRETIN Milan
BATTAGLIN Enrico
POLITT Nils
ROJAS Brandon Alejandro
BARGUIL Warren
KRIEGER Alexander
GAMPER Patrick
ZWIEHOFF Ben
BRAMBILLA Gianluca
GALL Felix
LATOUR Pierre
MOSCA Jacopo
CHIRICO Luca
PELLIZZARI Giulio
COLBRELLI Sonny
JOHNSTON Calum
GROSU Eduard-Michael
MCNULTY Brandon
HIVERT Jonathan
HOWSON Damien
VANMARCKE Sep
TIETEMA Bas
BAIS Davide
TONELLI Alessandro
MULUBRHAN Henok
HARPER Chris
BAX Sjoerd
LEDANOIS Kévin
MARCHIORI Leonardo
RIOU Alan
MARTIN Alex
MEINTJES Louis
CAÑAVERAL Johnatan
STORK Florian
STEWART Jake
BALMER Alexandre
AMEZQUETA Julen
VERMEERSCH Florian
SEPÚLVEDA Eduardo
HIRSCHI Marc
BATTISTELLA Samuele
BADILATTI Matteo
COLLEONI Kevin
CRADDOCK Lawson
CAMPENAERTS Victor
CICCONE Giulio
TESFATSION Natnael
KANTER Max
SAGIV Guy
CLAEYS Dimitri
MOSCON Gianni
EENKHOORN Pascal
VERMAERKE Kevin
CATAFORD Alexander
BARCELÓ Fernando
MEENS Johan
DE KEIJZER Gerd
CIMOLAI Davide
BURGAUDEAU Mathieu
EDET Nicolas
FEDELI Alessandro
HERMANS Quinten
TRÆEN Torstein
VAN HOOYDONCK Nathan
RUBIO Einer Augusto
ROSSKOPF Joey
RENARD Alexis
LAUK Karl Patrick
PALZER Anton
LOUVEL Matis
DRIZNERS Jarrad
SKUJIŅŠ Toms
POELS Wout
VACEK Mathias
GARCÍA CORTINA Iván
