0
Full race
Stage 1 | Budapest - Visegrád
Stage 2 (ITT) | Budapest - Budapest
Stage 3 | Kaposvár - Balatonfüred
Stage 4 | Avola - Etna
Stage 5 | Catania - Messina
Stage 6 | Palmi - Scalea
Stage 7 | Diamante - Potenza
Stage 8 | Napoli - Napoli
Stage 9 | Isernia - Blockhaus
Stage 10 | Pescara - Jesi
Stage 11 | Santarcangelo di Romagna - Reggio Emilia
Stage 12 | Parma - Genova
Stage 13 | Sanremo - Cuneo
Stage 14 | Santena - Torino
Stage 15 | Rivarolo Canavese - Cogne
Stage 16 | Salò - Aprica
Stage 17 | Ponte di Legno - Lavarone
Stage 18 | Borgo Valsugana - Treviso
Stage 19 | Marano Lagunare - Santuario di Castelmonte
Stage 20 | Belluno - Marmolada (Passo Fedaia)
Stage 21 (ITT) | Verona - Verona
