0
Full race
Stage 1 (ITT) | Copenhagen - Copenhagen
Stage 2 | Roskilde - Nyborg
Stage 3 | Vejle - Sønderborg
Stage 4 | Dunkerque - Calais
Stage 5 | Lille - Wallers-Arenberg
Stage 6 | Binche - Longwy
Stage 7 | Tomblaine - La Super Planche des Belles Filles
Stage 8 | Dole - Lausanne
Stage 9 | Aigle - Châtel les portes du Soleil
Stage 10 | Morzine - Megève
Stage 11 | Albertville - Col de Granon
Stage 12 | Briançon - L'Alpe d'Huez
Stage 13 | Bourg d'Oisans - Saint-Etienne
Stage 14 | Saint-Etienne - Mende
Stage 15 | Rodez - Carcassonne
Stage 16 | Carcassonne - Foix
Stage 17 | Saint-Gaudens - Peyragudes
Stage 18 | Lourdes - Hautacam
Stage 19 | Castelnau-Magnoac - Cahors
Stage 20 (ITT) | Lacapelle-Marival - Rocamadour
Stage 21 | Paris La Défense - Paris (Champs-Élysées)
