0
Full race
Stage 1 (TTT) | Utrecht - Utrecht
Stage 2 | 's-Hertogenbosch - Utrecht
Stage 3 | Breda - Breda
Stage 4 | Vitoria-Gasteiz - Laguardia
Stage 5 | Irún - Bilbao
Stage 6 | Bilbao - Ascensión al Pico Jano. San Miguel de Aguayo
Stage 7 | Camargo - Cistierna
Stage 8 | La Pola Llaviana/Pola de Laviana - Colláu Fancuaya
Stage 9 | Villaviciosa - Les Praeres. Nava
Stage 10 (ITT) | Elche - Alicante
Stage 11 | ElPozo Alimentación - Cabo de Gata
Stage 12 | Salobreña - Peñas Blancas. Estepona
Stage 13 | Ronda - Montilla
Stage 14 | Montoro - Sierra de La Pandera
Stage 15 | Martos - Sierra Nevada
Stage 16 | Sanlúcar de Barrameda - Tomares
Stage 17 | Aracena - Monasterio de Tentudía
Stage 18 | Trujillo - Alto del Piornal
Stage 19 | Talavera de la Reina - Talavera de la Reina
Stage 20 | Moralzarzal - Puerto de Navacerrada
Stage 21 | Las Rozas - Madrid
